MOLECULE_NAME,SMILES,Dielectric_Constant
2-hexanol,CCCCC(C)O,11.1
aea,CCCCC/C=C\C\C=C/C/C=C\C\C=C/CCCC(=O)NCCO,11
benzene_acetonitrile,CC#N.c1ccccc1,11
t-butanol,CC(C)(C)O,10.9
benzylbenzene,C(c1ccccc1)c2ccccc2,10.785
diphenyl,c1ccc(cc1)c2ccccc2,10.765
bibenzyl,C(Cc1ccccc1)c2ccccc2,10.735
3-methylpyridine,Cc1cccnc1,10.71
decanenitrile,CCCCCCCCCC#N,10.6
1-heptanol,CCCCCCCO,10.5605
cetane,CCCCCCCCCCCCCCCC,10.523
ethylene_dichloride,ClCCCl,10.5
methylcyclopentane,CC1CCCC1,10.4925
pentamethylene,C1CCCC1,10.4845
ethylcyclobutane,CCC1CCC1,10.4825
ethylcyclopropane,CCC1CC1,10.4665
triptane,CC(C)C(C)(C)C,10.465
3oh,OCCC(O)=O,10.44675
1_2_dichloroethane,ClCCCl,10.435
1_2-dichloro-ethane,ClCCCl,10.4
1_2-dichloro_ethane,ClCCCl,10.4
1_2-dichloroethane,ClCCCl,10.4
clch2ch2cl,C.Cl.CCl,10.4
dce,ClCCCl,10.4
neopentane,CC(C)(C)C,10.3875
dichloroethane,CC(Cl)Cl,10.38
3-methylbutan-2-one,CC(C)C(C)=O,10.37
2-furoylfluoride_dichloroethane,CC(Cl)Cl.FC(=O)c1occc1,10.36
ch2c1ch2c1,C.CCC,10.36
des,CC\C(c1ccc(O)cc1)=C(\CC)c2ccc(O)cc2,10.35
1-octanol,CCCCCCCCO,10.3
dichloro_methane,ClCCl,10.3
n-octanol,CCCCCCCCO,10.3
octanol,CCCCCCCCO,10.3
3-phenylpropanol,OCCCc1ccccc1,10.25
butyl_carbitol,CCCCOCCOCCO,10.2
ethylene_chloride,ClCCCl,10.2
dcb,Clc1ccccc1Cl,10.145
2-dichlorobenzene,Clc1ccccc1Cl,10.12
1_1-dichloroethane,CC(Cl)Cl,10
2-naphthol,Oc1ccc2ccccc2c1,10
ammonium_salicylate,[NH4+].Oc1ccccc1C([O-])=O,10
blue_line,[H+].[Cl-].CN(C)CCN(Cc1sccc1)c2ccccn2,10
cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,10
ctma,CONC(=O)COc1ccc(Cl)cc1C,10
mlm,NC(=O)CC(O)=O,10
pentanal,CCCCC=O,10
pteridine,c1cnc2ncncc2n1,10
