MOLECULE_NAME,SMILES,log_fu
103189284,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,-0.538351432
103189345,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,-0.898596649
103189684,CC1=CC(=C(C=C1)SC2=CC=CC=C2CN(C)C)N,-0.960585881
103189735,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,-1.105683937
103190248,C1=CC2=C(C=C1C(F)(F)F)NC(=O)C2(C3=C(C=CC(=C3)Cl)O)O,-1.826813732
103191369,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,-2.494850022
103193220,CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC,-0.960585881
103193630,C[C@@]12C3=CC=CC=C3C[C@@H](N1)C4=CC=CC=C24,-0.276708554
103194712,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,-3
103194723,COC1=C(C(=CC=C1)OC)OCCNCC2COC3=CC=CC=C3O2,-1.619788758
103195118,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,-0.112326448
103195217,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,-0.969400278
103195793,COC1=CC2=C(C=C1)C(=CC(=O)N2CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)O,-2.958607315
103197648,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,-1.924453039
103198445,C1=CC=NC(=C1)C(CNC2=NC=C(N(C2=O)CC(=O)NCC3=C(C=CC=N3)F)Cl)(F)F,-0.552686891
103199196,C1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)CC4=CC=CC=C4)F,-0.524328812
103199382,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,-0.353890478
103199488,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,-0.236646891
103199552,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,-1.542118103
103206765,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,-1.718966633
103207442,CC(C)(C1=CC=CC=C1CC[C@H](C2=CC=CC(=C2)/C=C/C3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,-3.301029996
103211976,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)/C=C/C(=O)O)/C3=CC=CC=C3,-2.48148606
103213015,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,-1.835647144
103214033,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,-0.611721137
103214422,C1=CC=C(C(=C1)NC(=O)NC2=CC=C(C3=NNN=C23)C#N)Br,-2.37675071
103215028,COC1=CC=C(C=C1)CC2=C(NN=C2N)N,-0.713319031
103216314,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,-0.183228588
103219083,C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4,-2.161150909
103220117,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)O,-1.11463878
103220716,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,-0.855425792
103220983,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,-1.133122186
103222315,CCN1CCC[C@H]1CNC(=O)C2=C(C(=CC(=C2)Br)OC)OC,-0.26744542
103222919,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,-1.096367484
103223987,CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC=N3,-0.190171039
103224052,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,-1.581698709
103224657,CNCCC(C1=CC=CC=C1)OC2=CC=CC=C2OC,-0.316322701
103225393,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,-1.610833916
