MOLECULE_NAME,SMILES,logEpsilon_minus_1
aco,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P](O)(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O[P](O)(O)=O)n2cnc3c(N)ncnc23,1.301029996
allyl_alcohol,OCC=C,1.301029996
dipropylene_glycol,CC(O)COC(C)CO,1.301029996
flavin,[Cl-].C[n+]1c2cc(N)ccc2cc3ccc(N)cc13,1.301029996
griseofulvin,COC1CC(=O)C[C@@H](C)[C@]12Oc3c(Cl)c(OC)cc(OC)c3C2=O,1.301029996
propanone,CC(C)=O,1.301029996
butane-2_3-diol,CC(O)C(C)O,1.29841638
n-propyl_alcohol,CCCO,1.296884476
dimethyl_ketone,CC(C)=O,1.294906911
2-furoylfluoride_acetone,CC(C)=O.FC(=O)c1occc1,1.294466226
2-propanone,CC(C)=O,1.294466226
acetone,CC(C)=O,1.294466226
isopropanal,CC(C)=O,1.292256071
isobutyronitrile,CC(C)C#N,1.28780173
n-butyronitrile,CCCC#N,1.28780173
propan-1-ol,CCCO,1.285557309
propanol,CCCO,1.285557309
triethanolamine,OCCN(CCO)CCO,1.284656283
cst,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)N[C@@H](Cc1ccccc1)C(O)=O)[C@@H]2CCN=C(N)N2)C(=O)N[C@@H](Cc3ccccc3)C([O-])=O,1.284430734
ioh,CC(C)O,1.282848603
indole,[nH]1ccc2ccccc12,1.28171497
1-propanol,CCCO,1.281033367
ch3ch2ch2–oh,CCCO,1.281033367
n-propanol,CCCO,1.281033367
act,CC(O)=O,1.278753601
alcohols,CCO,1.278753601
alkane,CCCCCCCCCCCCc1ccccc1,1.278753601
dcip,O.[Na+].[O-]c1c(Cl)cc(cc1Cl)N=C2C=CC(=O)C=C2,1.278753601
pentanenitrile,CCCCC#N,1.278753601
propyl-alcohol,CCCO,1.278753601
retinal,CC(=C\C=O)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,1.278753601
sodium_acetate,[Na+].CC([O-])=O,1.278753601
tetraethylene_glycol,OCCOCCOCCOCCO,1.276691529
2-propanol,CC(C)O,1.276461804
propan-2-ol,CC(C)O,1.276461804
teg,OCCOCCOCCO,1.270201199
ethyl_isothiocyanate,CCN=C=S,1.267171728
lactic_acid,CC(O)C(O)=O,1.264817823
isopropyl-alcohol,CC(C)O,1.258876629
ethyl_acetate-acetonitrile,CCOC(C)=O.CC#N,1.256958153
isooctane-ethyl_acetate,CCCCCC(C)C.CCOC(C)=O,1.256958153
2-propen-1-ol,OCC=C,1.255537826
iso-propanol,CC(C)O,1.250420002
2-butyl_alcohol,CCC(C)O,1.247973266
ethyl_methyl_ketone,CCC(C)=O,1.243162115
ethylmethylketone,CCC(C)=O,1.243038049
mek,CCC(C)=O,1.243038049
phenol_formaldehyde,Oc1ccccc1.C=O,1.243038049
propanal,CCC=O,1.243038049
methylethylketone,CCC(C)=O,1.240549248
isopropyl_alcohol,CC(C)O,1.238673243
2-butanone,CCC(C)=O,1.238046103
2-propyl_alcohol,CC(C)O,1.238046103
i-propanol,CC(C)O,1.238046103
isopropanol,CC(C)O,1.238046103
butanone,CCC(C)=O,1.236789099
cyclohexanone,O=C1CCCCC1,1.235528447
methyl_ethyl_ketone,CCC(C)=O,1.235528447
benzaldehyde,O=Cc1ccccc1,1.23325001
n-propylammonium_nitrate,CCC[NH3+].[O-][N+]([O-])=O,1.23299611
isobutyl_alcohol,CC(C)CO,1.230831953
1_4-dicyanobenzene,N#Cc1ccc(cc1)C#N,1.230448921
ggo,N[C@H]1CN(CCc2ccc3OCOc3c2)C(=O)C[C@@H]1c4cc(F)c(F)cc4F,1.230448921
propionaldehyde,CCC=O,1.230448921
propyl_alcohol,CCCO,1.230448921
butanol,CCCCO,1.225309282
methyl_propyl_ketone,CCCC(C)=O,1.224014811
isobutanol,CC(C)CO,1.222716471
valeronitrile,CCCCC#N,1.222716471
n-butyl_alcohol,CCCCO,1.221544637
n-butanol,CCCCO,1.220108088
pentane-1_2-diol,CCCC(O)CO,1.219322508
butan-1-ol,CCCCO,1.217483944
butyl_alcohol,CCCCO,1.217483944
cyclopentanol,OC1CCCC1,1.21735232
1-butanol,CCCCO,1.216165902
acetophenone,CC(=O)c1ccccc1,1.214843848
hexanenitrile,CCCCCC#N,1.211120541
2-methoxy_ethanol,COCCO,1.209515015
2me,CCOC,1.209515015
2-methylpropan-2-ol,CC(C)(C)O,1.206825876
diethylketone,CCC(=O)CC,1.204119983
2-methoxyethanol,COCCO,1.201943063
lmt,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,1.200713734
2-methyl-1-propanol,CC(C)CO,1.198106999
3-pentanone,CCC(=O)CC,1.198106999
diethyl_ketone,CCC(=O)CC,1.19368103
sec-butyl_alcohol,CCC(C)O,1.190331698
cis,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[S](O)(=O)=O)[C@H]1O)[C@H](O)CCCCCCCCCCCCCCC,1.176091259
ethylacetoacetate,CCCC(=O)CC([O-])=O,1.176091259
2-butanol,CCC(C)O,1.174350597
i-butanol,CC(C)CO,1.172588338
