MOLECULE_NAME,SMILES,logEpsilon
heptanone,CCCCCC(C)=O,1.096910013
phosphotyrosine,N[C@@H](Cc1ccc(O[P](O)(O)=O)cc1)C(O)=O,1.096910013
triazole,[nH]1ccnn1,1.096910013
2-methyl-2-propanol,CC(C)(C)O,1.096388547
tba,CCCC[N+](CCCC)(CCCC)CCCC,1.095866453
peg_400,OCCO,1.093421685
tert-butanol,CC(C)(C)O,1.093421685
benzeneethanol,OCCc1ccccc1,1.090258053
cysteamine,NCCS,1.089905111
ethyl_propionate,CCOC(=O)CC,1.089905111
2-octanone,CCCCCCC(C)=O,1.08278537
heptan-1-ol,CCCCCCCO,1.08278537
durene,Cc1cc(C)c(C)cc1C,1.082138831
2-pentanol,CCCC(C)O,1.082066934
mellitene,Cc1c(C)c(C)c(C)c(C)c1C,1.081779227
glycolate,OCC([O-])=O,1.080806804
3-methyl-2-butanol,CC(C)C(C)O,1.080626487
m-cresol,Cc1cccc(O)c1,1.079181246
triton_x-100,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,1.079181246
benzenepropanol,OCCCc1ccccc1,1.07809415
4-methylpyridine,Cc1ccncc1,1.07773118
2-heptanone,CCCCCC(C)=O,1.077367905
mnt,CNc1ccccc1C(=O)O[C@H]2C[C@@H](O[C@@H]2CO[P](O)(=O)O[P](O)(O)=O)n3cnc4c(N)ncnc34,1.077367905
t-butyl_alcohol,CC(C)(C)O,1.068185862
3-pentanol,CCC(O)CC,1.062957834
heptanol,CCCCCCCO,1.061640934
dap,Nc1cccc(N)n1,1.06069784
phenol,Oc1ccccc1,1.056904851
polyethylene_glycol,OCCO,1.056904851
o-dianisidine,COc1cc(ccc1N)c2ccc(N)c(OC)c2,1.053078443
octan-1-ol,CCCCCCCCO,1.053078443
hexane-acetone,CCCCCC.CC(C)=O,1.052886235
tert-butyl_alcohol,CC(C)(C)O,1.049218023
2-hexanol,CCCCC(C)O,1.045322979
aea,CCCCC/C=C\C\C=C/C/C=C\C\C=C/CCCC(=O)NCCO,1.041392685
benzene_acetonitrile,CC#N.c1ccccc1,1.041392685
t-butanol,CC(C)(C)O,1.037426498
benzylbenzene,C(c1ccccc1)c2ccccc2,1.032820149
diphenyl,c1ccc(cc1)c2ccccc2,1.032014034
bibenzyl,C(Cc1ccccc1)c2ccccc2,1.030802049
3-methylpyridine,Cc1cccnc1,1.029789471
decanenitrile,CCCCCCCCCC#N,1.025305865
1-heptanol,CCCCCCCO,1.023684481
cetane,CCCCCCCCCCCCCCCC,1.02213957
ethylene_dichloride,ClCCCl,1.021189299
methylcyclopentane,CC1CCCC1,1.020878978
pentamethylene,C1CCCC1,1.020547724
ethylcyclobutane,CCC1CCC1,1.020464871
ethylcyclopropane,CCC1CC1,1.019801478
triptane,CC(C)C(C)(C)C,1.019739233
3oh,OCCC(O)=O,1.018981202
1_2_dichloroethane,ClCCCl,1.018492453
1_2-dichloro-ethane,ClCCCl,1.017033339
1_2-dichloro_ethane,ClCCCl,1.017033339
1_2-dichloroethane,ClCCCl,1.017033339
clch2ch2cl,C.Cl.CCl,1.017033339
dce,ClCCCl,1.017033339
neopentane,CC(C)(C)C,1.016511037
